ID,질문,대답,
142,PLC제어는 뭐 배우PLC제어는이지 알려줘,"전공선택
자동화에 많이 활용되고 있는 PLC-공압 시스템 구축을 위해 공압제어기술의 개념, 공압발생장치, 작동요소, 제어요소(공압 밸브) 등의 공압시스템의 구성요소들의 종류, 작동원리, 시스템에서의 역할을 배우며, 전기 시퀀스 구성요소, 원리및 용도들을 익혀 전기-공압회로 설계법 등을 이론 및 실습을 통해 익힌다. 또한 자동화 시스템에서 제어기로 가장 많이 활용되고 있는 PLC의 구성과 원리, 선정법, PLC프로그래밍들을 이론과 실습으로 익힌다.",0.708261775
143,17학번 졸업요건이 어떻게 되오??,"학점기준
졸업학점: 140, 교양: 25, 계열기초: 30, 전공: 70, 현장실무:4
어학자격
토익 550점",0.222815557
144,전기회로1에 대해 알려주세요,"전공필수
전기전자분야의 교과를 수강하기 위한 선수적 교과내용으로써 기본적인 전기지식을 배운다. 직류회로를 중심으로 기본적인 소자, 회로해석 및 전기에너지의 전달관계를 이해하고, 실험을 통하여 이론을 검증한다.",0.229102888
145,핵교 알려주오,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법",0.693277083
146,차동혁 교수님 연구실 위치 좀 알려줘,공학관 B동 316호,0.088880328
147,김기현 교수님 연구실 좀 알려주오,공학관 B동 308호,0.173823651
148,PLC제어에 대해 알려줘요,"전공선택
자동화에 많이 활용되고 있는 PLC-공압 시스템 구축을 위해 공압제어기술의 개념, 공압발생장치, 작동요소, 제어요소(공압 밸브) 등의 공압시스템의 구성요소들의 종류, 작동원리, 시스템에서의 역할을 배우며, 전기 시퀀스 구성요소, 원리및 용도들을 익혀 전기-공압회로 설계법 등을 이론 및 실습을 통해 익힌다. 또한 자동화 시스템에서 제어기로 가장 많이 활용되고 있는 PLC의 구성과 원리, 선정법, PLC프로그래밍들을 이론과 실습으로 익힌다.",0.257078165
149,김기현 교수님 번호 알려줘,031)8041-0460,0.3774066
150,메카트로닉스 공학과 학생부회장 누굴까?,안태준,0.469597581
151,디지털회로실험은 뭘 배울까?,"전공필수
'디지털회로'교과에서 학습한 디지털 조합/순차 논리회로에 대한 실험 및 실습을 통해 회로 동작의 원리와 특성을 이해한다.",0.766899279
152, 18학번 전필,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2",0.611519847
153,이석원 교수님 이메일 뭐야,lsw@kpu.ac.kr,0.301809778
154,메카 EH 어떤 것들이 있을까요?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH",0.027850925
155,남대훈 교수님 이메일 뭐야,dhnam@kpu.ac.kr,0.045771065
156,디지털회로실험은 뭘 배울까요?,"전공필수
'디지털회로'교과에서 학습한 디지털 조합/순차 논리회로에 대한 실험 및 실습을 통해 회로 동작의 원리와 특성을 이해한다.",0.007108061
157,21학번 전공필수 알려주시오,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2",0.973889344
158,재료역학은 뭘 배우나요?,"전공선택
각 부재의 안정성을 판단하기 위해 구조물의 역학적 해석능력을 키우고 이를 반영한 구조물 설계개선능력을 갖추도록 하는데 있다.",0.105731418
159,마이크로컴퓨터응용에 대해 알려주소,"전공선택
메모리, 입출력 장치 및 주변장치를 포함하는 교육용 원칩 마이크로컴퓨터 시스템을 활용한 실습을 통해 원칩 마이크로컴퓨터의 기능과 동작방법에 대해 학습하여 마이크로컴퓨터 보드의 설계 및 제작 능력을 배양한다.",0.009857092
160,17학번 전공필수 과목을 알려주십시오,"1학년:메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2, 공업역학, 스마트융합기초, 디지털회로, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획
4학년: 종합설계1, 종합설계2",0.822164055
161,핵심교양 과목 뭘까요?,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법",0.209468469
162,메카 랩실 뭐 있노?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH",0.370633057
163,센서는 뭐 가르치지?,"전공선택
제어 대상의 상태를 파악하기 위해 각종 센서의 원리와 활용법을 학습하고 측정대상에 적합한 센서를 선정 및 응용하는 능력을 갖도록 하는데 있다.",0.697055057
164,메카 EH은 뭐가 있나?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH",0.635726693
165,비주얼프로그래밍에 대해 알려주시면 감사하겠습니다,"전공필수
C++ 를 기반으로 다양한 MFC클래스를 활용하여 윈도우 기반의 비주얼 프로그램을 작성한다. 다양한 MFC 클래스, API 및 GDI 개념을 학습하고 이를 활용하여 파일 입출력, 그래픽, 네트워크 통신이 가능한 윈도우 응용 프로그램을 작성한다.",0.969887719
166,이원봉 교수님 연락처 좀,031)8041-0384,0.474871937
167,정명진 교수님 연구실 위치가 어디오,공학관 B동406호,0.040294349
168, 18학번 전필 내놔,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2",0.495353616
169,허헌 교수님 번호 알려주오,031)8041-0463,0.49732944
170,메카 랩실 어떤게 있나요?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH",0.143321343
171,C프로그래밍2는 뭘 배워?,"기초선택(전공)
공학의 실용적인 문제와 관련하여 시스템의 모델링, 동적거동을 해석하는데 필요한 수학을 학습한다.",0.562848611
172,메카 학과장님이 누군지 알려줄래?,정명진 교수님,0.796355319
173, 18학번 전공필수과목은 뭘까?,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2",0.510327294
174,허헌 교수님 이메일 알려주오,heon.huh@kpu.ac.kr,0.022453282
175,종합설계기획은 뭐 가르치세요?,"전공필수
창의적 공학설계, 교양학적 사고, 기초전공지식, 전공 심화 등의 내용을 기반으로 메카트로닉스 전공 교과목의 개념을 종합적으로 이해하여 전공 관련 제품을 설계하기 위한 기획을 행한다.",0.093384677
176,차동혁 교수님 번호 알려주오,031)8041-0454,0.604715791
177,핵심교양 과목 가르쳐주오,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법",0.184022396
178,메카 EH 뭐 있는지 좀 알려줘,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH",0.768246685
179,남대훈 교수님 연락처 좀요,031)8041-0457,0.345212184
180,김효영 교수님 이메일 뭐노,kimhy@kpu.ac.kr,0.043486828
181,김기현 교수님 연구실 위치가 어디오,공학관 B동 308호,0.854442442
182,메카 학과장님이 누군지 알고싶어,정명진 교수님,0.250120041
183,메카 학과 행정실 번호,031-8041-0450,0.13511334
184,심재홍 교수님 이메일 알려주겠소?,jhshim@kpu.ac.kr,0.484928804
185,신호및시스템은 뭘 배우나요?,"전공선택
실생활이나 공학 분야의 신호와 시스템의 특성에 대해서 학습한다. 연속(Continuous-time) 및 이산(Discrete-time) 신호와 다양한 수학적 도구(푸리에 표현, 라플라스 변환, Z변환)를 이용하여 신호 및 시스템을 해석하고 분석하는 방법을 학습한다.",0.760065011
186,스마트팩토리디바이스제어는 뭐 가르쳐?,"전공선택
디바이스(센서, 액추에이터, 신호 입출력 장치), 통신 및 제어시스템의 기본원리 이해 ? 디바이스 활용한 현장 맞춤형 프로젝트 실습 ? 역량강화 성취도를 높이기 위하여 온라인-오프라인 강의와 전문가 특강, 그리고 실습(Team project)을 병행 ? 스마트팩토리 구현 시 발생 가능한 문제점에 대한 개선안 도출",0.587875277
187,강대진 교수님 연구실 위치가 어디야,공학관 B동 306호,0.376718751
188,17학번 전공필수 과목을 알려주시오,"1학년:메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2, 공업역학, 스마트융합기초, 디지털회로, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획
4학년: 종합설계1, 종합설계2",0.095002892
189,반도체장비개론에 대해 알려주세요,"전공선택
DRAM, NAND Flash를 포함한 반도체 소자 제조에 필요한 에칭, 증착, 패터닝 등에 사용되는 반도체 공정 장비들의 작동 원리를 이해하고 관련 지식을 습득한다.",0.379313291
190,메카 관련 부전공 뭐있어요?,"스마트팩토리, 인공지능융합,지능형로봇융합",0.245495135
191,B동 학과 행정실 위치 좀요,공학관 B동 307호,0.739627348
192,16학번 졸업기준이 어떻게??,"학점기준
졸업학점: 150, 교양: 27, 계열기초: 30, 전공: 75, 현장실무:4
어학자격
토익 550점",0.823106442
193,메카 학생 회장 누구냐?,임현종,0.146167261
194,B동 학과 사무실 번호 알려줘,031-8041-0450,0.944992752
195,C프로그래밍1은 뭐 가르쳐요?,"기초필수(전공)
기본적인 C 프로그래밍 언어 문법을 학습하고, 실습을 통해 프로그램 해석 및 프로그래밍 능력을 배양한다.",0.64983538
